"CWNS_ID","FACILITY_ID","STATE_CODE","CONGRESSIONAL_DISTRICT_ID","CD_PRIMARY_FLAG"
"36008015002",414678,NY,"3624",Y
"33000246001",3521794,NH,"3301",Y
"39000059013",3522098,OH,"3902",Y
"26007003053",3539438,MI,"2601",Y
"51000010081",3541678,VA,"5105",Y
"33000034003",3541757,NH,"3302",Y
"33000114002",3541865,NH,"3302",Y
"33000299001",3542439,NH,"3301",Y
"18120000086",3542899,IN,"1805",Y
"45041603002",392374,SC,"4501",Y
"31000185001",1230171,NE,"3103",Y
"29003078001",1233270,MO,"2906",Y
"29004999001",1233312,MO,"2903",Y
"18004452001",1234203,IN,"1804",Y
"39005419007",1237826,OH,"3910",Y
"12000057002",1239592,FL,"1213",Y
"34002046021",489088,NJ,"3412",Y
"29003858001",1134018,MO,"2907",Y
"29004006001",1134033,MO,"2906",Y
"21000300001",1139716,KY,"2102",Y
"23000057002",1142493,ME,"2302",Y
"31001395001",1145946,NE,"3101",Y
"31001530001",1145962,NE,"3101",Y
"31002065001",1146030,NE,"3103",Y
"27001905001",1148245,MN,"2701",Y
"41000022005",1164282,OR,"4106",Y
"34003405011",442357,NJ,"3404",Y
"34006311011",442667,NJ,"3401",Y
"34001055011",442713,NJ,"3409",Y
"34002402011",442789,NJ,"3407",Y
"20002004095",448744,KS,"2004",Y
"34081000021",453891,NJ,"3408",Y
"08192000000",462150,CO,"0804",Y
"08000326001",1067109,CO,"0802",Y
"34008610011",442592,NJ,"3405",Y
"34007083011",442717,NJ,"3403",Y
"20002004189",450518,KS,"2001",Y
"08100200025",450651,CO,"0802",Y
"16000082201",452728,ID,"1601",Y
"08191000000",459461,CO,"0803",Y
"41000015003",493366,OR,"4103",Y
"08000060001",1066862,CO,"0804",Y
"10000025001",1066486,DE,"1000",Y
"10000027001",1066488,DE,"1000",Y
"08000039001",1066843,CO,"0804",Y
"08000105001",1066906,CO,"0803",Y
"08000500077",1067213,CO,"0802",Y
"34003527001",1073691,NJ,"3404",Y
"34008506001",1073937,NJ,"3407",Y
"12000148003",1078306,FL,"1212",Y
"41000206001",1164427,OR,"4105",Y
"41000270001",1164479,OR,"4105",Y
"41000284001",1164490,OR,"4102",Y
"22000545001",1168206,LA,"2205",Y
"18000042001",1120087,IN,"1804",Y
"19000736001",1124095,IA,"1904",Y
"29001092001",1133372,MO,"2907",Y
"29001104001",1133385,MO,"2906",Y
"21000025002",1139490,KY,"2103",Y
"31000085001",1145764,NE,"3103",Y
"31000285001",1145804,NE,"3103",Y
"31001325001",1145936,NE,"3103",Y
"31002520001",1146068,NE,"3103",Y
"27001005001",1148184,MN,"2708",Y
"27001706001",1148235,MN,"2708",Y
"38000016001",1151270,ND,"3800",Y
"38000030001",1151283,ND,"3800",Y
"38000237001",1151477,ND,"3800",Y
"37006301001",1153534,NC,"3709",Y
"30000193001",1159231,MT,"3001",Y
"41000015001",1164270,OR,"4103",Y
"41000310001",1164500,OR,"4104",Y
"49000094001",1170446,UT,"4902",Y
"49000334001",1170657,UT,"4902",Y
