"CWNS_ID","FACILITY_ID","STATE_CODE","IMPLEMENTATION_STATUS","REMAINING_COST","ANNUAL_COST"
"04002801013",3200552,AZ,Fully Implemented,0,0
"54004111001",1095193,WV,Considering Implementation,30000,0
"04000000139",3609468,AZ,Fully Implemented,0,0
"04000000127",3608976,AZ,In Process of Developing,0,0
"04000000128",3608977,AZ,Not Considering Implementation,0,0
"04000501002",1069360,AZ,In Process of Developing,0,0
"04002801022",439329,AZ,Fully Implemented,0,0
"30000000007",3607816,MT,In Process of Developing,0,0
"04000000136",3609268,AZ,Fully Implemented,0,0
"04001309001",1069440,AZ,Fully Implemented,0,0
"04001315009",3166608,AZ,Fully Implemented,0,0
"04000000121",3608587,AZ,Fully Implemented,0,0
"12000000036",3608442,FL,Not Considering Implementation,0,0
"04000000129",3608978,AZ,Fully Implemented,0,0
"04000000134",3609208,AZ,In Process of Developing,0,0
"54000000025",3607777,WV,Considering Implementation,30000,0
"30000024001",1238236,MT,In Process of Developing,0,0
"04001315003",1069452,AZ,Fully Implemented,0,0
"54004305001",1095224,WV,Fully Implemented,0,4300
"23000168001",1142599,ME,Not Considering Implementation,0,0
"04000000152",3610532,AZ,Considering Implementation,0,0
"36000000433",3609352,NY,Not Considering Implementation,0,0
"54004203001",1095208,WV,Considering Implementation,30000,0
"54004215001",1095213,WV,In Process of Developing,30000,0
"54005409001",1095321,WV,Fully Implemented,0,10000
"54002018001",1094906,WV,Fully Implemented,0,27500
"12000101007",409106,FL,Not Considering Implementation,0,0
"12000101005",398310,FL,Not Considering Implementation,0,0
"04001903017",1069556,AZ,Fully Implemented,0,0
"23000147001",3293817,ME,Fully Implemented,0,0
"54004601001",1095252,WV,Fully Implemented,0,0
"54000615001",1094750,WV,Considering Implementation,30000,0
"04000000146",3609680,AZ,Fully Implemented,0,0
"04002709002",1069676,AZ,Fully Implemented,0,0
"54000000078",3610267,WV,Considering Implementation,30000,0
"23000008001",1142439,ME,Fully Implemented,0,30000
"04000904001",1069392,AZ,Fully Implemented,0,0
"23000125001",1142563,ME,Not Considering Implementation,0,0
"23000021001",1142454,ME,Fully Implemented,0,0
"04002508001",1069623,AZ,Fully Implemented,0,0
"04001312002",1069443,AZ,Fully Implemented,0,0
"54004219001",1095215,WV,Considering Implementation,30000,0
"23000108001",1142547,ME,Considering Implementation,0,0
"54003403001",1095116,WV,Considering Implementation,30000,0
"54001804001",1094873,WV,Considering Implementation,30000,0
"54003911001",1095160,WV,In Process of Developing,30000,0
"04000000142",3609637,AZ,Fully Implemented,0,0
"36007060100",3525516,NY,Not Considering Implementation,0,0
"23000072001",1142509,ME,In Process of Developing,20000,0
"04000000151",3610528,AZ,Fully Implemented,0,0
"54002902001",1095043,WV,Fully Implemented,0,20000
"23000130001",1142568,ME,Considering Implementation,0,0
"23000012001",1142443,ME,Considering Implementation,0,0
"23000011001",1142442,ME,Fully Implemented,0,0
"54001101001",1094791,WV,Considering Implementation,30000,0
"23000026001",1142459,ME,Fully Implemented,0,0
